factor_a,factor_b,factor_c,factor_d,costo
1,0,0,1,0.0426241
1,0,0,1,0.0425207
1,0,0,1,0.0421996
1,0,0,1,0.0432294
1,0,0,1,0.0434332
1,0,0,1,0.0417331
1,0,0,1,0.0433092
1,0,0,1,0.0436258
1,0,0,1,0.043476
1,0,0,1,0.042821
1,0,0,1,0.0420441
1,0,0,1,0.0424833
1,0,0,1,0.0442733
1,0,0,1,0.0430975
1,0,0,1,0.0418078
1,0,0,1,0.0425335
1,0,0,1,0.0436029
1,0,0,1,0.0432591
1,0,0,1,0.0441338
1,0,0,1,0.043357
1,0,0,1,0.043819
1,0,1,0,0.0369766
1,0,1,0,0.0367004
1,0,1,0,0.0384025
1,0,1,0,0.0367427
1,0,1,0,0.0375427
1,0,1,0,0.0365322
1,0,1,0,0.0361266
1,0,1,0,0.0367402
1,0,1,0,0.036786
1,0,1,0,0.0360717
1,0,1,0,0.0366798
1,0,1,0,0.0368312
1,0,1,0,0.0370376
1,0,1,0,0.0366193
1,0,1,0,0.0369892
1,0,1,0,0.0376489
1,0,1,0,0.0373592
1,0,1,0,0.0363712
1,0,1,0,0.0373812
1,0,1,0,0.0367994
1,0,1,0,0.0368376
1,0,1,0,0.0373091
1,0,1,0,0.0367908
1,0,1,0,0.0375601
1,0,1,0,0.0377125
1,0,1,0,0.0393059
1,0,1,0,0.0373975
1,0,1,0,0.0369928
1,0,1,0,0.0375605
1,0,1,0,0.036529
1,0,1,1,0.0406241
1,0,1,1,0.0382899
1,0,1,1,0.0402419
1,0,1,1,0.040222
1,0,1,1,0.039495
1,0,1,1,0.039249
1,0,1,1,0.0389122
1,0,1,1,0.0390595
1,0,1,1,0.0405964
1,0,1,1,0.0406962
1,0,1,1,0.0402893
1,0,1,1,0.0405013
1,0,1,1,0.0402619
1,0,1,1,0.0399082
1,0,1,1,0.0386089
1,0,1,1,0.0407365
1,0,1,1,0.0397768
1,0,1,1,0.038867
1,0,1,1,0.0400827
1,0,1,1,0.0399362
1,0,1,1,0.039244
1,0,1,1,0.0400199
1,0,1,1,0.0400206
1,0,1,1,0.0400349
1,0,1,1,0.0400395
1,0,1,1,0.0397328
1,0,1,1,0.039107
1,0,1,1,0.0398815
1,0,1,1,0.0403193
1,0,1,1,0.0400871
1,1,0,0,0.0663537
1,1,0,0,0.0663204
1,1,0,0,0.0572721
1,1,0,0,0.0498251
1,1,0,0,0.0534086
1,1,0,0,0.0545993
1,1,0,0,0.057217
1,1,0,0,0.0663096
1,1,0,0,0.0544773
1,1,0,0,0.0561093
1,1,0,0,0.055811
1,1,0,0,0.054507
1,1,0,0,0.0662993
1,1,0,0,0.0537436
1,1,0,0,0.0496544
1,1,0,0,0.0662947
1,1,0,0,0.0528099
1,1,0,0,0.0529239
1,1,0,0,0.0536447
1,1,0,0,0.0545224
1,1,0,0,0.0504997
1,1,0,0,0.0534728
1,1,0,0,0.0576142
1,1,0,0,0.0576992
1,1,0,0,0.0562686
1,1,0,0,0.0524021
1,1,0,0,0.0538375
1,1,0,0,0.0662834
1,1,0,0,0.0564571
1,1,0,0,0.0523236
1,1,0,1,0.0529222
1,1,0,1,0.0534714
1,1,0,1,0.0534978
1,1,0,1,0.0543328
1,1,0,1,0.0540884
1,1,0,1,0.0537122
1,1,0,1,0.0538205
1,1,0,1,0.0543124
1,1,0,1,0.054179
1,1,0,1,0.0524405
1,1,0,1,0.0542344
1,1,0,1,0.0537908
1,1,0,1,0.0534646
1,1,0,1,0.0533486
1,1,0,1,0.0540432
1,1,0,1,0.0537231
1,1,0,1,0.0507521
1,1,0,1,0.0522301
1,1,0,1,0.0538244
1,1,0,1,0.0551645
1,1,0,1,0.0531188
1,1,0,1,0.0534539
1,1,0,1,0.0527888
1,1,0,1,0.0535234
1,1,0,1,0.0530124
1,1,0,1,0.0538894
1,1,0,1,0.0531667
1,1,0,1,0.053803
1,1,0,1,0.0535127
1,1,0,1,0.0538823
1,1,1,0,0.0360874
1,1,1,0,0.0364547
1,1,1,0,0.0361991
1,1,1,0,0.0360986
1,1,1,0,0.035812
1,1,1,0,0.0361172
1,1,1,0,0.0360482
1,1,1,0,0.0362132
1,1,1,0,0.0363662
1,1,1,0,0.0363264
1,1,1,0,0.0362599
1,1,1,0,0.0358449
1,1,1,0,0.0362118
1,1,1,0,0.0359885
1,1,1,0,0.0362863
1,1,1,0,0.0359677
1,1,1,0,0.0362189
1,1,1,0,0.0361303
1,1,1,0,0.0362571
1,1,1,0,0.0361853
1,1,1,0,0.0360352
1,1,1,0,0.03614
1,1,1,0,0.0362311
1,1,1,0,0.0361961
1,1,1,0,0.0358949
1,1,1,0,0.0361919
1,1,1,0,0.0359735
